TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK
1610612737,Atlanta Hawks,82,36,46,0.439,3971,0.539,0.251,0.133,0.308,0.572,0.242,0.139,0.283,1,21,21,21,3,17,12,13,5,30,16,11,16
1610612738,Boston Celtics,82,64,18,0.78,3966,0.578,0.224,0.121,0.287,0.523,0.189,0.122,0.274,1,1,1,1,7,2,25,1,14,2,1,29,7
1610612751,Brooklyn Nets,82,32,50,0.39,3961,0.531,0.234,0.134,0.289,0.543,0.239,0.129,0.285,1,22,22,22,10,25,20,14,12,16,14,24,19
1610612766,Charlotte Hornets,82,21,61,0.256,3946,0.529,0.212,0.14,0.253,0.572,0.236,0.139,0.291,1,27,27,27,23,26,30,21,27,29,11,10,22
1610612741,Chicago Bulls,82,39,43,0.476,3996,0.534,0.236,0.124,0.291,0.556,0.251,0.142,0.283,1,20,20,20,1,22,19,3,11,23,19,8,17
1610612739,Cleveland Cavaliers,82,48,34,0.585,3961,0.557,0.234,0.138,0.274,0.535,0.24,0.138,0.279,1,11,11,11,10,13,21,19,22,6,15,13,14
1610612742,Dallas Mavericks,82,50,32,0.61,3941,0.562,0.251,0.124,0.257,0.548,0.239,0.137,0.289,1,6,6,6,26,7,13,4,25,17,13,17,21
1610612743,Denver Nuggets,82,57,25,0.695,3941,0.562,0.224,0.13,0.3,0.526,0.252,0.127,0.282,1,2,2,2,26,8,24,9,6,3,21,26,15
1610612765,Detroit Pistons,82,14,68,0.171,3951,0.526,0.246,0.151,0.277,0.558,0.276,0.123,0.27,1,30,30,30,21,28,15,27,20,25,28,27,5
1610612744,Golden State Warriors,82,46,36,0.561,3966,0.557,0.219,0.142,0.315,0.539,0.248,0.129,0.275,1,16,16,16,7,12,29,22,4,10,17,23,10
1610612745,Houston Rockets,82,41,41,0.5,3971,0.529,0.257,0.127,0.294,0.533,0.286,0.138,0.278,1,19,19,19,3,27,9,7,8,5,29,15,12
1610612754,Indiana Pacers,82,47,35,0.573,3941,0.578,0.222,0.126,0.284,0.556,0.289,0.136,0.3,1,12,12,12,26,1,26,6,16,22,30,18,26
1610612746,LA Clippers,82,51,31,0.622,3941,0.561,0.256,0.134,0.283,0.541,0.236,0.133,0.295,1,5,5,5,26,9,10,15,17,11,10,20,24
1610612747,Los Angeles Lakers,82,47,35,0.573,3971,0.566,0.276,0.137,0.244,0.55,0.192,0.131,0.275,1,12,12,12,3,5,2,17,29,18,2,21,11
1610612763,Memphis Grizzlies,82,27,55,0.329,3956,0.509,0.238,0.152,0.287,0.551,0.25,0.152,0.294,1,24,24,24,17,29,18,28,13,19,18,3,23
1610612748,Miami Heat,82,46,36,0.561,3951,0.538,0.257,0.13,0.261,0.543,0.223,0.141,0.266,1,16,16,16,21,20,8,10,24,13,5,9,3
1610612749,Milwaukee Bucks,82,49,33,0.598,3961,0.568,0.27,0.128,0.255,0.539,0.234,0.119,0.269,1,8,8,8,10,4,4,8,26,9,8,30,4
1610612750,Minnesota Timberwolves,82,56,26,0.683,3961,0.559,0.27,0.144,0.275,0.515,0.252,0.145,0.275,1,4,4,4,10,10,5,23,21,1,20,5,9
1610612740,New Orleans Pelicans,82,49,33,0.598,3941,0.558,0.261,0.132,0.278,0.541,0.237,0.144,0.275,1,8,8,8,26,11,7,12,19,12,12,7,8
1610612752,New York Knicks,82,50,32,0.61,3946,0.54,0.246,0.138,0.333,0.543,0.231,0.137,0.271,1,6,6,6,23,16,14,18,1,15,7,16,6
1610612760,Oklahoma City Thunder,82,57,25,0.695,3961,0.573,0.24,0.125,0.25,0.53,0.256,0.155,0.302,1,2,2,2,10,3,17,5,28,4,22,1,27
1610612753,Orlando Magic,82,47,35,0.573,3956,0.541,0.287,0.15,0.297,0.543,0.264,0.154,0.263,1,12,12,12,17,15,1,26,7,14,24,2,2
1610612755,Philadelphia 76ers,82,47,35,0.573,3956,0.532,0.264,0.122,0.292,0.537,0.271,0.148,0.299,1,12,12,12,17,24,6,2,10,8,26,4,25
1610612756,Phoenix Suns,82,49,33,0.598,3956,0.565,0.271,0.15,0.292,0.536,0.23,0.128,0.286,1,8,8,8,17,6,3,25,9,7,6,25,20
1610612757,Portland Trail Blazers,82,21,61,0.256,3976,0.503,0.228,0.154,0.32,0.558,0.273,0.145,0.303,1,27,27,27,2,30,23,29,3,24,27,6,28
1610612758,Sacramento Kings,82,46,36,0.561,3971,0.556,0.229,0.131,0.285,0.555,0.266,0.138,0.256,1,16,16,16,3,14,22,11,15,21,25,12,1
1610612759,San Antonio Spurs,82,22,60,0.268,3966,0.532,0.22,0.148,0.269,0.555,0.222,0.131,0.279,1,26,26,26,7,23,28,24,23,20,4,22,13
1610612761,Toronto Raptors,82,25,57,0.305,3961,0.535,0.241,0.139,0.281,0.566,0.218,0.138,0.306,1,25,25,25,10,21,16,20,18,27,3,14,29
1610612762,Utah Jazz,82,31,51,0.378,3961,0.539,0.251,0.155,0.325,0.567,0.235,0.122,0.283,1,23,23,23,10,18,11,30,2,28,9,28,18
1610612764,Washington Wizards,82,15,67,0.183,3946,0.538,0.221,0.136,0.24,0.562,0.258,0.136,0.317,1,29,29,29,23,19,27,16,30,26,23,19,30
1610612737,Atlanta Hawks,82,56,26,0.683,3961,0.498,0.31,0.168,0.334,0.472,0.26,0.173,0.33,1,7,7,7,18,12,17,13,14,5,1,12,9
1610612738,Boston Celtics,82,15,67,0.183,3981,0.474,0.316,0.167,0.329,0.539,0.337,0.18,0.342,1,28,28,28,5,24,14,11,17,29,19,3,19
1610612766,Charlotte Hornets,82,54,28,0.659,3961,0.518,0.313,0.162,0.316,0.496,0.279,0.154,0.339,1,9,9,9,21,3,15,5,27,17,627,16,
1610612741,Chicago Bulls,82,69,13,0.841,3946,0.511,0.267,0.147,0.374,0.471,0.266,0.172,0.33,1,1,1,1,29,5,29,2,2,3,3,13,10
1610612739,Cleveland Cavaliers,82,42,40,0.512,3971,0.493,0.297,0.17,0.322,0.482,0.379,0.191,0.319,1,14,14,14,7,15,25,14,25,10,27,2,5
1610612742,Dallas Mavericks,82,24,58,0.293,3961,0.469,0.297,0.177,0.332,0.5,0.305,0.171,0.35,1,24,24,24,20,28,24,23,15,19,11,15,25
